candidate,decision_scope,frequency_bias_diagnosis,absolute_concentration_gate,cells,total_trades,max_absolute_single_trade_pct,max_absolute_top5_pct,max_normalized_top_trade_r,max_normalized_top5_trade_r,concentration_failed_cells,normalized_concentration_flag,gate_context
h1_xlp_xly_consumer_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1389,220.8673,1096.5807,0.19541,0.611319,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_xlu_xlk_defensive_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1476,100.0,158.1288,0.194936,0.612058,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h1_xme_spy_metals_mining_rotation_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1161,100.0,100.0,0.134063,0.661712,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h4_breakeven_inflation_momentum_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,2055,100.0,100.0,0.130137,0.594438,7,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h4_credit_spread_stress_momentum_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,1689,100.0,274.6079,0.188391,0.780804,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h4_d1_momentum_expansion_continuation_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,735,100.0,111.7863,0.1678,0.809899,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h4_financial_conditions_stress_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,483,100.0,100.0,0.356255,1.407623,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
h4_gdx_gld_miner_divergence_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,165,434.0433,2009.9961,0.462394,1.705509,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h4_gld_etf_flow_reversal_v0,REJECTED_OR_RESEARCH,FREQUENCY_FAILURE,FAIL,9,312,30.1329,143.7496,0.317246,1.531172,9,REVIEW_NORMALIZED_CONTEXT,sample_size;concentration;activity
h4_gld_etf_flow_reversal_v1,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,621,100.0,197.3541,0.241862,1.182034,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
h4_gold_futures_volume_climax_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,141,145.1773,693.6699,0.55586,1.784213,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
h4_gvz_volatility_panic_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,489,100.0,212.5005,0.277442,1.289932,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration;activity
