date,open,high,low,close,source,regime,atr14,atr14_pct_252,ema50,ema200,ema50_slope_20_pct,ret20_pct,ret60_pct,range20_pct_rank_252
2018-11-30,1221.89,1228.91,1221.43,1224.21,capital_com_processed_d1,compression,8.918571428571388,12.3015873015873,1218.4609253175868,1238.238756785572,0.058509797715844414,-0.5055143323878686,1.3956069440763441,26.984126984126984
2018-12-01,1224.21,1225.49,1216.62,1221.96,capital_com_processed_d1,compression,8.205714285714262,3.968253968253968,1218.5981439325835,1238.0767791061135,0.04606029333811268,-0.25711976883707743,1.9064298223667953,19.047619047619047
2018-12-03,1222.91,1223.11,1221.25,1222.7,capital_com_processed_d1,compression,7.7128571428571115,1.1904761904761905,1218.7590010332667,1237.9237763289382,0.04566441427775736,0.03599888730712042,2.0660294670061363,19.047619047619047
2018-12-04,1222.71,1234.86,1222.16,1231.34,capital_com_processed_d1,compression,7.810714285714247,1.5873015873015872,1219.252373541766,1237.85826611671,0.11479200412607415,1.820858002844572,2.6741267604459384,26.58730158730159
2018-12-05,1231.34,1241.89,1231.24,1236.68,capital_com_processed_d1,chop,8.437857142857117,5.952380952380952,1219.9358098734615,1237.8465420757477,0.19428273783275163,2.1534598260381177,2.9545700513657236,49.2063492063492
2018-12-06,1236.68,1239.73,1233.25,1239.25,capital_com_processed_d1,chop,8.38714285714283,5.952380952380952,1220.69322909411,1237.8605068312131,0.3037547332422452,3.0184381598417076,3.5772493626979873,48.80952380952381
2018-12-07,1239.3,1244.29,1234.68,1238.37,capital_com_processed_d1,chop,8.427142857142826,6.349206349206349,1221.3864357963016,1237.8655764149821,0.40862176583753573,3.0095076485413985,4.6353642977245535,55.952380952380956
2018-12-08,1238.37,1249.98,1237.92,1248.41,capital_com_processed_d1,chop,8.552142857142826,7.936507936507936,1222.446183412133,1237.970496052644,0.51455604016728,3.1223928432773773,4.775452996617746,36.507936507936506
2018-12-10,1250.4,1250.49,1248.02,1248.74,capital_com_processed_d1,compression,8.42499999999997,6.349206349206349,1223.4773134744023,1238.0776552959014,0.6051082982940104,2.8268871303760656,4.8603530221856595,26.984126984126984
2018-12-11,1248.73,1250.27,1241.55,1244.44,capital_com_processed_d1,compression,8.432857142857122,7.142857142857142,1224.2993796126611,1238.14096220838,0.6562121316428637,1.9030461840812363,4.663622065786943,27.380952380952383
2018-12-12,1244.44,1249.46,1240.96,1243.97,capital_com_processed_d1,compression,8.907857142857129,15.079365079365079,1225.070776490596,1238.1989625844162,0.699301308508038,1.749578759672188,3.1920629785398447,27.77777777777778
2018-12-13,1243.97,1247.19,1241.93,1245.35,capital_com_processed_d1,compression,8.824999999999998,13.492063492063492,1225.8660401576315,1238.2701171855665,0.7450344656743768,1.859955341441677,3.9610985891977535,27.380952380952383
2018-12-14,1245.35,1246.68,1240.05,1242.25,capital_com_processed_d1,compression,8.342142857142855,5.952380952380952,1226.508548386744,1238.3097180095906,0.7866327341349066,1.8029092399098445,3.60630853787709,28.57142857142857
2018-12-15,1242.25,1242.95,1232.89,1238.0,capital_com_processed_d1,compression,7.953571428571422,3.1746031746031744,1226.9591935480482,1238.3066362383508,0.7964953851372414,1.0364808618297694,2.9307836208688487,29.365079365079367
2018-12-17,1237.33,1237.76,1235.47,1236.37,capital_com_processed_d1,compression,7.59999999999999,0.3968253968253968,1227.3282447814581,1238.287366226029,0.7957818062596989,0.7784353042826098,2.7107182614185765,29.761904761904763
2018-12-18,1236.37,1248.06,1236.09,1246.05,capital_com_processed_d1,compression,7.821428571428555,2.380952380952381,1228.0624312606164,1238.3646063630836,0.8402565834806142,1.9255466212955374,4.65379963716992,27.380952380952383
