family,symbol,rr,atr_mult,context_mult,trades,win_rate_pct,net_usd,profit_factor,expectancy_usd,avg_win_usd,avg_loss_usd,avg_stop_points,max_closed_drawdown_usd,max_closed_drawdown_pct,pf_excluding_best_5pct,active_days,trades_per_active_day,months_active,months_positive,months_positive_pct,median_bars_held,timeout_pct,ambiguous_bars
london_breakout,GBPUSD,2.0,1.0,1.0,1448,37.57,-146.51,0.9499,-0.1012,5.106,-3.2347,357.6,211.29,2.113,0.6906,1191,1.216,66,24,36.4,62,19.3,0
london_breakout,GBPUSD,2.0,1.5,0.0,1552,33.51,-256.41,0.9072,-0.1652,4.8205,-2.6774,270.1,259.65,2.597,0.6837,1279,1.213,66,24,36.4,41,6.9,1
london_breakout,GBPUSD,2.0,1.5,0.5,1550,33.61,-254.58,0.9089,-0.1642,4.8758,-2.7161,273.9,267.84,2.678,0.6824,1278,1.213,66,24,36.4,42,7.0,1
london_breakout,GBPUSD,2.0,1.5,1.0,1440,37.64,-144.91,0.9508,-0.1006,5.1659,-3.2793,362.9,209.92,2.099,0.6948,1188,1.212,66,24,36.4,65,19.9,0
london_breakout,GBPUSD,2.0,2.0,0.0,1428,37.46,-120.06,0.9594,-0.0841,5.3065,-3.3136,348.1,218.18,2.182,0.719,1209,1.181,66,27,40.9,65,17.8,1
london_breakout,GBPUSD,2.0,2.0,0.5,1428,37.46,-122.91,0.9585,-0.0861,5.3122,-3.3202,348.6,220.44,2.204,0.7178,1209,1.181,66,27,40.9,65,17.8,1
london_breakout,GBPUSD,2.0,2.0,1.0,1373,39.99,-8.95,0.997,-0.0065,5.3381,-3.5674,394.8,214.58,2.146,0.7384,1163,1.181,66,29,43.9,77,24.7,0
london_breakout,GBPUSD,2.0,3.0,0.0,1166,45.28,-19.48,0.9932,-0.0167,5.3815,-4.4842,520.2,280.81,2.808,0.7291,1093,1.067,66,34,51.5,224,43.0,0
london_breakout,GBPUSD,2.0,3.0,0.5,1166,45.28,-19.48,0.9932,-0.0167,5.3815,-4.4842,520.2,280.81,2.808,0.7291,1093,1.067,66,34,51.5,224,43.0,0
london_breakout,GBPUSD,2.0,3.0,1.0,1160,45.34,-34.08,0.988,-0.0294,5.3526,-4.4946,528.0,304.58,3.046,0.7253,1088,1.066,66,34,51.5,247,44.1,0
london_breakout,GBPUSD,2.5,1.0,0.0,1568,29.15,-238.99,0.9057,-0.1524,5.0223,-2.281,228.7,248.88,2.489,0.7012,1285,1.22,66,27,40.9,33,7.0,1
london_breakout,GBPUSD,2.5,1.0,0.5,1554,29.79,-205.48,0.9211,-0.1322,5.1844,-2.3885,240.9,238.18,2.382,0.6845,1274,1.22,66,26,39.4,36,8.1,1
london_breakout,GBPUSD,2.5,1.0,1.0,1394,36.59,-17.97,0.9937,-0.0129,5.5227,-3.2065,358.4,244.59,2.446,0.7005,1151,1.211,66,31,47.0,74,24.9,0
london_breakout,GBPUSD,2.5,1.5,0.0,1514,30.85,-208.68,0.9252,-0.1378,5.5289,-2.6654,271.0,227.51,2.275,0.6686,1248,1.213,66,24,36.4,47,11.2,2
london_breakout,GBPUSD,2.5,1.5,0.5,1510,30.99,-210.86,0.9251,-0.1396,5.5688,-2.7035,274.9,242.44,2.424,0.6641,1245,1.213,66,26,39.4,47,11.4,2
london_breakout,GBPUSD,2.5,1.5,1.0,1388,36.74,-27.01,0.9906,-0.0195,5.5531,-3.2564,363.7,243.62,2.436,0.6983,1149,1.208,66,30,45.5,76,25.6,0
london_breakout,GBPUSD,2.5,2.0,0.0,1365,36.48,-31.9,0.9888,-0.0234,5.6734,-3.2955,348.5,237.27,2.373,0.7148,1160,1.177,66,29,43.9,75,24.1,0
london_breakout,GBPUSD,2.5,2.0,0.5,1365,36.48,-34.03,0.9881,-0.0249,5.6809,-3.3023,349.1,239.47,2.395,0.7135,1160,1.177,66,29,43.9,75,24.1,0
london_breakout,GBPUSD,2.5,2.0,1.0,1315,39.32,68.93,1.0244,0.0524,5.5914,-3.5362,395.5,224.08,2.241,0.7298,1119,1.175,66,29,43.9,92,31.5,0
london_breakout,GBPUSD,2.5,3.0,0.0,1139,44.34,-141.62,0.9504,-0.1243,5.3756,-4.5052,520.1,326.33,3.263,0.6724,1070,1.064,66,30,45.5,283,48.9,0
london_breakout,GBPUSD,2.5,3.0,0.5,1139,44.34,-141.62,0.9504,-0.1243,5.3756,-4.5052,520.1,326.33,3.263,0.6724,1070,1.064,66,30,45.5,283,48.9,0
london_breakout,GBPUSD,2.5,3.0,1.0,1135,44.32,-156.52,0.9451,-0.1379,5.3617,-4.515,527.5,337.21,3.372,0.668,1067,1.064,66,31,47.0,286,49.5,0
london_breakout,USDJPY,1.2,1.0,0.0,1038,42.39,-147.1,0.8567,-0.1417,1.9992,-1.717,189.4,170.28,1.703,0.7169,1003,1.035,66,26,39.4,47,4.3,0
london_breakout,USDJPY,1.2,1.0,0.5,1031,42.58,-158.85,0.8577,-0.1541,2.1807,-1.8854,211.0,179.59,1.796,0.674,996,1.035,66,25,37.9,55,5.4,0
london_breakout,USDJPY,1.2,1.0,1.0,957,46.08,-32.97,0.9746,-0.0344,2.8729,-2.5192,340.8,120.55,1.206,0.7122,924,1.036,66,28,42.4,94,24.1,0
london_breakout,USDJPY,1.2,1.5,0.0,1036,42.86,-153.19,0.869,-0.1479,2.2883,-1.975,217.6,197.76,1.978,0.6914,1001,1.035,66,26,39.4,56,4.8,0
london_breakout,USDJPY,1.2,1.5,0.5,1031,43.26,-150.0,0.8737,-0.1455,2.3271,-2.0306,226.5,181.03,1.81,0.6893,996,1.035,66,25,37.9,58,5.8,0
london_breakout,USDJPY,1.2,1.5,1.0,957,46.29,-24.93,0.9808,-0.0261,2.8726,-2.5243,341.1,111.84,1.118,0.7179,924,1.036,66,28,42.4,94,24.2,0
london_breakout,USDJPY,1.2,2.0,0.0,1007,45.48,-37.52,0.9704,-0.0373,2.686,-2.3091,266.5,138.04,1.38,0.7622,973,1.035,66,29,43.9,71,9.6,0
london_breakout,USDJPY,1.2,2.0,0.5,1006,45.73,-41.85,0.967,-0.0416,2.6643,-2.3213,268.9,124.3,1.243,0.7612,972,1.035,66,27,40.9,72,10.1,0
london_breakout,USDJPY,1.2,2.0,1.0,952,46.64,2.33,1.0018,0.0025,2.9241,-2.5511,347.3,100.91,1.009,0.7362,920,1.035,66,30,45.5,101,25.2,0
london_breakout,USDJPY,1.2,3.0,0.0,900,48.11,39.1,1.0299,0.0434,3.1064,-2.7965,391.2,108.25,1.083,0.7767,888,1.014,66,33,50.0,166,33.9,0
london_breakout,USDJPY,1.2,3.0,0.5,900,48.11,39.1,1.0299,0.0434,3.1064,-2.7965,391.2,108.25,1.083,0.7767,888,1.014,66,33,50.0,166,33.9,0
london_breakout,USDJPY,1.2,3.0,1.0,890,47.87,16.46,1.0125,0.0185,3.1359,-2.8436,412.7,128.58,1.286,0.7469,878,1.014,66,30,45.5,191,37.6,0
london_breakout,USDJPY,1.5,1.0,0.0,1022,38.36,-135.05,0.8747,-0.1321,2.4059,-1.7113,189.5,178.87,1.789,0.7157,987,1.035,66,25,37.9,56,6.8,0
london_breakout,USDJPY,1.5,1.0,0.5,1013,38.4,-153.04,0.8692,-0.1511,2.6152,-1.8756,211.4,190.02,1.9,0.6652,978,1.036,66,25,37.9,61,8.3,0
london_breakout,USDJPY,1.5,1.0,1.0,930,43.33,-14.16,0.989,-0.0152,3.1673,-2.4489,341.6,130.26,1.303,0.698,898,1.036,66,27,40.9,122,31.1,0
london_breakout,USDJPY,1.5,1.5,0.0,1016,38.88,-139.25,0.8858,-0.1371,2.735,-1.9639,218.2,206.49,2.065,0.6889,981,1.036,66,25,37.9,64,8.2,0
london_breakout,USDJPY,1.5,1.5,0.5,1010,39.21,-137.9,0.8886,-0.1365,2.7772,-2.0157,227.1,194.65,1.947,0.683,975,1.036,66,27,40.9,66,9.2,0
london_breakout,USDJPY,1.5,1.5,1.0,930,43.55,-4.72,0.9963,-0.0051,3.169,-2.4536,341.9,120.13,1.201,0.7048,898,1.036,66,27,40.9,123,31.2,0
london_breakout,USDJPY,1.5,2.0,0.0,978,41.51,-72.86,0.9441,-0.0745,3.0331,-2.2802,267.3,150.16,1.502,0.7163,947,1.033,66,28,42.4,82,16.4,0
london_breakout,USDJPY,1.5,2.0,0.5,978,41.82,-57.04,0.9562,-0.0583,3.0423,-2.287,269.9,140.15,1.401,0.7245,947,1.033,66,27,40.9,82,16.8,0
london_breakout,USDJPY,1.5,2.0,1.0,925,44.0,3.0,1.0023,0.0032,3.1784,-2.4915,347.7,127.14,1.271,0.7129,894,1.035,66,29,43.9,144,32.4,0
london_breakout,USDJPY,1.5,3.0,0.0,871,46.27,37.8,1.0297,0.0434,3.2559,-2.7229,390.3,110.23,1.102,0.746,859,1.014,66,29,43.9,222,42.3,0
london_breakout,USDJPY,1.5,3.0,0.5,871,46.27,37.8,1.0297,0.0434,3.2559,-2.7229,390.4,110.23,1.102,0.746,859,1.014,66,29,43.9,222,42.3,0
london_breakout,USDJPY,1.5,3.0,1.0,863,46.35,23.1,1.018,0.0268,3.2656,-2.7714,412.5,125.23,1.252,0.7228,851,1.014,66,28,42.4,261,46.0,0
london_breakout,USDJPY,2.0,1.0,0.0,1008,33.63,-125.52,0.8891,-0.1245,2.9688,-1.692,189.7,189.35,1.894,0.6945,974,1.035,66,27,40.9,62,11.1,0
london_breakout,USDJPY,2.0,1.0,0.5,994,34.21,-128.36,0.8936,-0.1291,3.1703,-1.8444,211.9,186.14,1.861,0.6499,961,1.034,66,28,42.4,67,14.1,0
london_breakout,USDJPY,2.0,1.0,1.0,904,41.48,-48.56,0.9621,-0.0537,3.2883,-2.4228,342.9,164.87,1.649,0.6608,876,1.032,66,27,40.9,201,40.6,0
london_breakout,USDJPY,2.0,1.5,0.0,995,33.97,-172.41,0.8646,-0.1733,3.257,-1.938,218.7,244.47,2.445,0.6314,962,1.034,66,25,37.9,71,14.4,0
london_breakout,USDJPY,2.0,1.5,0.5,989,34.78,-144.84,0.8869,-0.1464,3.3025,-1.9859,227.8,226.6,2.266,0.6383,956,1.035,66,27,40.9,74,15.8,0
london_breakout,USDJPY,2.0,1.5,1.0,902,41.57,-48.13,0.9624,-0.0534,3.2834,-2.4277,343.0,163.76,1.638,0.6617,874,1.032,66,27,40.9,205,40.7,0
london_breakout,USDJPY,2.0,2.0,0.0,949,38.67,-47.14,0.9637,-0.0497,3.411,-2.2319,266.9,149.5,1.495,0.6916,919,1.033,66,30,45.5,97,24.8,0
london_breakout,USDJPY,2.0,2.0,0.5,947,38.97,-36.94,0.9714,-0.039,3.4065,-2.2386,269.6,147.2,1.472,0.6937,917,1.033,66,30,45.5,100,25.3,0
london_breakout,USDJPY,2.0,2.0,1.0,895,42.57,-6.72,0.9947,-0.0075,3.2969,-2.4569,349.1,144.25,1.442,0.6911,868,1.031,66,30,45.5,224,42.6,0
london_breakout,USDJPY,2.0,3.0,0.0,846,45.86,11.73,1.0095,0.0139,3.2299,-2.7107,389.8,135.11,1.351,0.6955,836,1.012,66,32,48.5,288,52.1,0
london_breakout,USDJPY,2.0,3.0,0.5,846,45.86,11.73,1.0095,0.0139,3.2299,-2.7107,389.8,135.11,1.351,0.6955,836,1.012,66,32,48.5,288,52.1,0
london_breakout,USDJPY,2.0,3.0,1.0,840,46.07,-1.98,0.9984,-0.0024,3.2259,-2.7603,412.4,143.94,1.439,0.6917,830,1.012,66,30,45.5,288,55.7,0
london_breakout,USDJPY,2.5,1.0,0.0,988,32.09,-100.79,0.9107,-0.102,3.243,-1.6823,189.8,171.26,1.713,0.6873,957,1.032,66,28,42.4,67,17.1,0
