report_date,market,cftc_contract_market_code,open_interest_all,producer_long_all,producer_short_all,swap_long_all,swap_short_all,managed_money_long_all,managed_money_short_all,managed_money_spread_all,other_reportable_long_all,other_reportable_short_all,nonreportable_long_all,nonreportable_short_all
2018-11-27,GOLD - COMMODITY EXCHANGE INC.,088691,442801,35196,76210,101201,76287,79992,138382,38546,76787,16526,48120,33891
2018-12-04,GOLD - COMMODITY EXCHANGE INC.,088691,399919,19212,74759,92265,94967,99414,109201,34760,73605,14817,39504,30256
2018-12-11,GOLD - COMMODITY EXCHANGE INC.,088691,402250,18936,83116,95532,108720,89942,90008,37267,79658,19093,45264,28395
2018-12-18,GOLD - COMMODITY EXCHANGE INC.,088691,412485,18531,78969,93951,126188,100828,89630,39543,81340,16578,44758,28043
2018-12-24,GOLD - COMMODITY EXCHANGE INC.,088691,442727,20170,86065,90994,153318,119146,77178,41968,89476,20459,43866,26632
2018-12-31,GOLD - COMMODITY EXCHANGE INC.,088691,451360,19300,92197,91520,163237,121205,71021,44696,88936,15348,46707,25865
2019-01-08,GOLD - COMMODITY EXCHANGE INC.,088691,455232,12969,75020,95600,154736,112690,80219,52561,86870,20125,48508,26537
2019-01-15,GOLD - COMMODITY EXCHANGE INC.,088691,501605,43351,103302,99528,147690,115651,90716,49848,86145,23167,49334,29134
2019-01-22,GOLD - COMMODITY EXCHANGE INC.,088691,513509,50087,110130,102479,134513,105295,89085,57454,81215,22921,48740,31167
2019-01-29,GOLD - COMMODITY EXCHANGE INC.,088691,483390,14289,84947,102371,150322,126404,94007,31561,85914,18718,49142,30126
2019-02-05,GOLD - COMMODITY EXCHANGE INC.,088691,479736,15593,89160,111952,169627,134954,90079,30535,83246,19026,50355,28208
2019-02-12,GOLD - COMMODITY EXCHANGE INC.,088691,476083,16566,90733,113352,165296,132365,89746,28083,81805,19550,48849,27612
2019-02-19,GOLD - COMMODITY EXCHANGE INC.,088691,504639,15236,103673,102849,180889,166411,84034,26270,87675,24405,50871,30041
2019-02-26,GOLD - COMMODITY EXCHANGE INC.,088691,501268,15312,101061,102816,176912,154217,75658,31177,82618,25481,52989,28840
2019-03-05,GOLD - COMMODITY EXCHANGE INC.,088691,471311,13920,86101,105762,147578,125903,94656,32170,76725,19954,53221,27242
2019-03-12,GOLD - COMMODITY EXCHANGE INC.,088691,530030,27128,87449,104043,152196,123293,105886,36397,81957,20545,57540,27885
2019-03-19,GOLD - COMMODITY EXCHANGE INC.,088691,514163,33592,97589,99696,151358,123909,93434,38307,80416,22495,54443,27180
