event_id,event_type,event_time_utc,event_date,reference,source_kind,source_url,release_time_rule
PPI_2024-12-12,PPI,2024-12-12 13:30:00+00:00,2024-12-12,November 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_12122024.htm,08:30 America/New_York
PPI_2025-01-14,PPI,2025-01-14 13:30:00+00:00,2025-01-14,December 2024,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01142025.htm,08:30 America/New_York
PPI_2025-02-13,PPI,2025-02-13 13:30:00+00:00,2025-02-13,January 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02132025.htm,08:30 America/New_York
PPI_2025-03-13,PPI,2025-03-13 12:30:00+00:00,2025-03-13,February 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03132025.htm,08:30 America/New_York
PPI_2025-04-11,PPI,2025-04-11 12:30:00+00:00,2025-04-11,March 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04112025.htm,08:30 America/New_York
PPI_2025-05-15,PPI,2025-05-15 12:30:00+00:00,2025-05-15,April 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05152025.htm,08:30 America/New_York
PPI_2025-06-12,PPI,2025-06-12 12:30:00+00:00,2025-06-12,May 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06122025.htm,08:30 America/New_York
PPI_2025-07-16,PPI,2025-07-16 12:30:00+00:00,2025-07-16,June 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_07162025.htm,08:30 America/New_York
PPI_2025-08-14,PPI,2025-08-14 12:30:00+00:00,2025-08-14,July 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_08142025.htm,08:30 America/New_York
PPI_2025-09-10,PPI,2025-09-10 12:30:00+00:00,2025-09-10,August 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_09102025.htm,08:30 America/New_York
PPI_2025-11-25,PPI,2025-11-25 13:30:00+00:00,2025-11-25,September 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_11252025.htm,08:30 America/New_York
PPI_2026-01-14,PPI,2026-01-14 13:30:00+00:00,2026-01-14,November 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01142026.htm,08:30 America/New_York
PPI_2026-01-30,PPI,2026-01-30 13:30:00+00:00,2026-01-30,December 2025,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_01302026.htm,08:30 America/New_York
PPI_2026-02-27,PPI,2026-02-27 13:30:00+00:00,2026-02-27,January 2026,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_02272026.htm,08:30 America/New_York
PPI_2026-03-18,PPI,2026-03-18 12:30:00+00:00,2026-03-18,February 2026,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_03182026.htm,08:30 America/New_York
PPI_2026-04-14,PPI,2026-04-14 12:30:00+00:00,2026-04-14,March 2026,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_04142026.htm,08:30 America/New_York
PPI_2026-05-13,PPI,2026-05-13 12:30:00+00:00,2026-05-13,April 2026,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_05132026.htm,08:30 America/New_York
PPI_2026-06-11,PPI,2026-06-11 12:30:00+00:00,2026-06-11,May 2026,BLS_OFFICIAL_ARCHIVE_INDEX,https://www.bls.gov/news.release/archives/ppi_06112026.htm,08:30 America/New_York
